address,permit_no,permit_date,description,lead_status
"112 GROVER LN, WALCR CA 94596",B260304,03/10/2026,"1. ADDITION OF UNCONDITIONED GARAGE SPACE 2. CONVERT PARTIALLY AN EXISTING CONDITIONED AREA TO NEW ADU 3. NEW ATTACHED ADU ADDITION 4. ADDITION OF CONDITIONED SPACE A. BEDROOM 1A B. BEDROOM 1B C. BATHROOM D. LAUNDRY 5. RELOCATE WATER HEATER 6. RELOCATE CRAWL ACCESS",New
"2488 ENCINAL DR, WALCR CA 94597",S26034-E,03/06/2026,"ONLINE - Build a new 748 sf 2 bed 1 bath detached ADU with full kitchen and 288 sf garage. ADU will be on a slab foundation with truss roof framing. Tie into existing electrical drop with new meter for the ADU, upgrade the main electrical panel to 300 amps. Tie into the existing water service under the same meter. Tie into existing private sewer lateral. Provide new photovoltaic system. REVISION: R26147",New
"2488 ENCINAL DR, WALCR CA 94597",M260356,03/06/2026,"Build a new 748 sf 2 bed 1 bath detached ADU with full kitchen and 288 sf garage. ADU will be on a slab foundation with truss roof framing. Tie into existing electrical drop with new meter for the ADU, upgrade the main electrical panel to 300 amps. Tie into the existing water service under the same meter. Tie into existing private sewer lateral. Provide new photovoltaic system.",New
"51 CASTLE HILL CT, WALCR CA 94595",B240302,03/05/2024,"NEW HUD/HCD MANUFACTURED ADU",New
"71 SHADY LN, A, WALCR CA 94597",B240304,03/05/2024,"NEW ADU AT REAR OF YARD",New
"1434 GOLETA CT, A, WALCR 94597",B240295,03/04/2024,"NEW ATTACHED ADU",New
"30 NORLYN DR, WALCR CA 94596",B260264,03/03/2026,"(N) ATTACHED ADU - NEW 1-BEDROOM , 1-BATHROOM ADU ATTACHED TO EXISTING RESIDENCE. NEW HALLWAY TO CONNECT MAIN RESIDENCE TO ADU WITH A 20-MIN RATED DOOR.",New
"187 LANCASTER RD, WALCR CA 94595",B250226,03/03/2025,"Conversion of Garage to Detached ADU",New
"1127 GLENGARRY DR, WALCR CA 94596",R25052,03/01/2025,"Would like to change living room into JADU. Current plans or for a bathroom only. These plans consist of closing two walkways, adding a efficiency sink, and adding 2 outlets and 1 light box with switch.",New
"2893 GRANDE CAMINO, WALCR CA 94598",R24053,02/28/2024,"REVISION TO B220314 ADD 2ND TANKLESS FOR HOUSE (N) ATTACHED ADU",New
"1042 BRIGHTWOOD CT, WALCR CA 94598",B240263,02/28/2024,"INSTALLTION OF A 747 sq ft HUD/HCD APPROVED MANUFACTURED ADU.",New
"3204 CUMBRIAN CT, A, WALCR 94598",B240256,02/27/2024,"NEW 838 SQ FT ADU",New
"100 ARLENE DR, WALCR CA 94595",B240259,02/27/2024,"INSTALLATION OF A 747 sq. ft. HUD/HCD APPROVED MANUFACTURED ADU.",New
"190 RUDGEAR DR, A, WALCR CA 94596",B250206,02/26/2025,"NEW DETACHED ADU PER STATE EXEMPT PROGRAM",New
"1868 DANIELLE CT, WALCR CA 94598",S26026-E,02/24/2026,"ONLINE - Adding Solar System to ADU on property. REVISION UNDER R26117",New
